Team,Score,ExpectedTd,Snaps,PassEff,RushEff,RushTdPerc,PassTdPerc,PassPlays,RushPlays,TotalTeamPassPlays,TotalTeamRushPlays
GB,24.5,2.45,64.62,0.9,0.9,0.35,0.65,37.82,23.88,,
TEN,25.5,2.55,61.93,0.9,1.05,0.46,0.54,37.42,25.69,,
BAL,16.25,1.625,64.04,1,1.05,0.45,0.55,36.37,29.42,,
ATL,25.75,2.575,62.07,0.9,0.95,0.19,0.81,41.41,24.48,,
BUF,20.75,2.075,65.13,1,1,0.3,0.7,41.05,28.65,,
WAS,27.75,2.775,59.71,0.95,0.95,0.32,0.68,36.31,25.12,,
LAR,24,2.4,64.94,1.05,1,0.39,0.61,38.61,25.53,,
KC,24.25,2.425,65.39,0.9,0.9,0.22,0.78,39.97,24.26,,
IND,26.25,2.625,63.57,0.95,0.95,0.25,0.75,41.83,24.14,,
CIN,26.5,2.65,61.77,0.95,1,0.29,0.71,39,24.44,,
NYG,26.25,2.625,61.76,1,0.9,0.34,0.66,38.51,23.91,,
DET,22.5,2.25,62.65,0.95,1.05,0.37,0.63,40.36,23.99,,
SF,25,2.5,60.28,1.1,1.1,0.19,0.81,35.94,25.39,,
PIT,28.75,2.875,63.16,0.95,1,0.28,0.72,42.97,21.76,,
HOU,30.25,3.025,60.85,1,0.9,0.2,0.8,37.38,22.12,,
DEN,22.5,2.25,64.77,1.1,1,0.5,0.5,37.33,23.67,,
CHI,21.5,2.15,63.17,1.1,1,0.33,0.68,37.96,25.28,,
CLE,20,2,65.98,1,0.95,0.24,0.76,40.47,25.56,,
MIA,21.25,2.125,65.67,0.9,0.9,0.22,0.78,36.16,24.26,,
MIN,21.75,2.175,61.99,1.1,1.1,0.21,0.79,36.8,24.56,,
NYJ,17.75,1.775,57.96,0.9,0.95,0.38,0.62,35.54,26.72,,
PHI,18.75,1.875,64.69,0.95,1.1,0.27,0.73,39.78,23.91,,
CAR,27,2.7,61.66,0.95,1.1,0.31,0.69,38.56,23.04,,
JAC,28.25,2.825,65.43,0.95,1.1,0.42,0.58,39.74,22.68,,
LAC,19.25,1.925,59.95,1,0.9,0.33,0.67,36.36,24.82,,
SEA,17,1.7,63.74,1.05,1.05,0.31,0.69,32.08,30.45,,
DAL,19.25,1.925,64.21,1.05,1,0.23,0.77,38.33,27.06,,
ARI,25,2.5,62.05,1.1,0.95,0.38,0.63,37.51,24.93,,
TB,24,2.4,64.24,1.1,0.95,0.18,0.82,38.75,26.27,,
NE,22.75,2.275,65.53,1,0.95,0.35,0.65,39.91,26.49,,
NO,23.25,2.325,64,1,0.9,0.37,0.63,34.1,26.58,,
OAK,21,2.1,63.8,0.9,1,0.31,0.69,40.37,25.66,,
