Player,FantasyProName,Pos,Team,Avg,RushPercent,TgtPercent,SnapPercent,YPC,SnapPerRoute,YPRR,TgtPerRoute,CatchPerc,RecTDPerc,RushTdPerc,DKSalary,FDSalary,BottomTwentyFive,TopTwentyFive,Percentile,DKValue,ProjPts,numberFirePots,Active
Patrick Mahomes,Patrick Mahomes,QB,KC,58.05,5.4,0,89.1,3.75,0,1.5,0,0,0,0,7500,,16.14,37.9,4,,,26.83,Active
Lamar Jackson,Lamar Jackson,QB,BAL,32.94,22.5,0,45,3.75,0.018,1.5,0.09,0,0,0,6030,0,15.102,21.321,3.6,0,0,22.38,Active
Cam Newton,Cam Newton,QB,CAR,56.88,9.9,0,89.1,3.75,0,1.5,0,0,0,0,0,0,9.729,30.159,3.6,0,0,21.87,Active
Christian McCaffrey,Christian McCaffrey,RB,CAR,54.27,23.6,13.4,91.9,5.183,0.459,1.812,0.255,0.892,0.2,0.59,0,0,8.694,30.834,3.6,0,0,27.13,Active
Tom Brady,Tom Brady,QB,NE,61.47,1.8,0,88.2,3.75,0,2.7,0.45,0.9,0,0,5760,0,9.783,28.647,3.6,0,0,20.86,Active
Deshaun Watson,Deshaun Watson,QB,HOU,61.47,8.1,0,90,3.75,0,1.5,0,0,0,0,5940,0,9.126,31.284,3.6,0,0,21.02,Active
Aaron Rodgers,Aaron Rodgers,QB,GB,56.97,3.6,0,84.6,3.75,0,1.5,0,0,0,0,5850,0,11.583,30.249,3.6,0,0,19.78,Active
Carson Wentz,Carson Wentz,QB,PHI,59.22,4.5,0,90,3.75,0,1.5,0,0,0,0,0,0,8.523,23.769,3.6,0,0,20.38,Active
Matt Ryan,Matt Ryan,QB,ATL,58.95,2.7,0,89.1,3.75,0,2.25,0.45,0.9,0,0,0,0,9.189,27.171,3.6,0,0,20.01,Active
Jared Goff,Jared Goff,QB,LAR,59.85,3.6,0,87.3,3.75,0,1.5,0,0,0,0,5310,0,5.553,27.738,3.6,0,0,19.73,Active
Ben Roethlisberger,Ben Roethlisberger,QB,PIT,61.11,2.7,0,87.3,3.75,0,1.5,0,0,0,0,5220,0,8.055,29.79,3.6,0,0,22.86,Active
Josh Allen,Josh Allen,QB,BUF,53.91,10.8,0,83.7,3.75,0,1.5,0.9,0,0,0,4770,0,4.158,29.979,3.6,0,0,19.15,Active
Drew Brees,Drew Brees,QB,NO,58.68,2.7,0,88.2,3.75,0,1.5,0,0,0,0,5580,0,9.045,30.699,3.6,0,0,18.69,Active
Ezekiel Elliott,Ezekiel Elliott,RB,DAL,53.37,34.1,10.4,85.5,4.656,0.414,1.5,0.212,0.815,0.12,0.87,7830,0,11.844,32.49,3.6,0,0,21.61,Active
Dak Prescott,Dak Prescott,QB,DAL,60.21,6.3,0,89.1,3.75,0,1.5,0.9,0,0,0,5670,0,6.912,25.614,3.6,0,0,18.85,Active
Saquon Barkley,Saquon Barkley,RB,NYG,47.97,29.9,13.7,82.8,5.6,0.495,1.5,0.234,0.787,0.15,0.83,8280,0,14.04,33.3,3.6,0,0,23.31,Active
Jameis Winston,Jameis Winston,QB,TB,56.25,6.3,0,79.2,3.75,0,1.5,0,0,0,0,0,0,8.118,24.381,3.6,0,0,18.66,Active
Philip Rivers,Philip Rivers,QB,LAC,54.27,1.8,0,87.3,3.75,0,1.5,0,0,0,0,5490,0,8.595,24.732,3.6,0,0,18.25,Active
Alvin Kamara,Alvin Kamara,RB,NO,39.42,29.6,16,65.6,4.841,0.459,2.133,0.286,0.835,0.11,0.63,7380,0,10.494,33.633,3.6,0,0,22.95,Active
Baker Mayfield,Baker Mayfield,QB,CLE,58.23,3.6,0,86.4,3.75,0,1.5,0.297,0,0,0,0,0,11.025,21.951,3.6,0,0,18,Active
Andy Dalton,Andy Dalton,QB,CIN,51.3,2.7,0,82.8,3.75,0,1.5,0,0,0,0,4860,0,6.75,22.905,3.6,0,0,17.97,Active
Nick Chubb,Nick Chubb,RB,CLE,22.23,47.5,7.1,39.4,5.112,0.324,1.5,0.197,0.714,0.06,0.8,0,0,10.125,30.015,3.6,0,0,19.46,Active
Russell Wilson,Russell Wilson,QB,SEA,60.12,5.4,0,90,3.75,0,1.5,0,0,0,0,5580,0,9.414,27.9,3.6,0,0,17.41,Active
Marcus Mariota,Marcus Mariota,QB,TEN,49.86,7.2,0,79.2,3.75,0,9.45,0.45,0.9,0,0,4500,0,4.941,25.083,3.6,0,0,17.27,Active
James Conner,James Conner,RB,PIT,49.68,30.2,10.3,74.8,4.452,0.477,1.625,0.187,0.838,0.03,0.83,6120,0,9.81,35.073,3.6,0,0,20.22,Active
Derek Carr,Derek Carr,QB,OAK,58.14,1.8,0,89.1,3.75,0,1.5,0,0,0,0,4590,0,6.606,25.461,3.6,0,0,17.06,Active
Mitchell Trubisky,Mitch Trubisky,QB,CHI,59.76,6.3,0,89.1,3.75,0,1.5,0,0,0,0,0,0,5.481,27.315,3.6,0,0,17.05,Active
Jimmy Garoppolo,Jimmy Garoppolo,QB,SF,59.13,3.6,0,89.1,3.75,0,1.5,0,0,0,0,5400,0,10.539,20.088,3.6,0,0,16.38,Active
Matthew Stafford,Matthew Stafford,QB,DET,59.22,1.8,0,88.2,3.75,0,1.5,0,0,0,0,4680,0,7.749,24.696,3.6,0,0,16.44,Active
Kyler Murray,Kyler Murray,QB,ARI,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,16.64,Active
Derrick Henry,Derrick Henry,RB,TEN,22.59,53.7,4.1,43.2,4.879,0.261,2.1,0.164,0.797,0.03,0.93,5400,0,4.068,26.667,3.6,0,0,17.27,Active
Kirk Cousins,Kirk Cousins,QB,MIN,59.13,3.6,0,90,3.75,0,1.5,0,0,0,0,4770,0,8.667,28.71,3.6,0,0,16.25,Active
Le'Veon Bell,Le'Veon Bell,RB,NYJ,30,2.4,0.8,60,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,19,Active
Sam Darnold,Sam Darnold,QB,NYJ,56.07,4.5,0,90,3.75,0,1.5,0,0,0,0,0,0,3.717,20.727,3.6,0,0,16.16,Active
Case Keenum,Case Keenum,QB,WAS,60.39,1.8,0,90,3.75,0,1.5,0,0,0,0,4500,0,5.733,21.546,3.6,0,0,15.91,Active
Austin Ekeler,Austin Ekeler,RB,LAC,22.41,29.6,14.8,44.2,5.19,0.495,2.273,0.247,0.847,0.15,0.27,5490,0,8.37,15.66,3.6,0,0,18.9,Active
Jacoby Brissett,Jacoby Brissett,QB,IND,4.05,0,0,50,3.75,0,1.5,0,0,0,0,4500,0,7.092,18.675,3.6,0,0,15.63,Active
Ryan Fitzpatrick,Ryan Fitzpatrick,QB,MIA,48.15,7.2,0,69.3,3.75,0,1.5,0,0,0,0,4230,0,4.95,25.794,3.6,0,0,15.48,Active
Eli Manning,Eli Manning,QB,NYG,56.79,0.9,0,88.2,3.75,0,1.5,0,0,0,0,4410,0,6.417,23.679,3.6,0,0,15.17,Active
Dalvin Cook,Dalvin Cook,RB,MIN,40.05,30,9.5,69.1,4.687,0.45,1.5,0.209,0.847,0.06,0.33,6480,0,7.515,22.32,3.6,0,0,17.79,Active
Chris Carson,Chris Carson,RB,SEA,29.16,52.4,6.3,51.7,4.501,0.27,1.556,0.185,0.905,0.05,0.64,5760,0,7.047,23.22,3.6,0,0,17.07,Active
Gardner Minshew,Gardner Minshew,QB,JAC,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,14.6,Active
Sony Michel,Sony Michel,RB,NE,22.14,64.8,2.7,35.8,4.38,0.162,1.5,0.171,0.576,0,0.34,5580,0,5.22,22.995,3.6,0,0,13.8,Active
Travis Kelce,Travis Kelce,TE,KC,55.89,0,15.1,92.9,3.75,0.522,2.405,0.246,0.704,0.18,0,6570,0,5.139,25.29,3.6,0,0,19.47,Active
Leonard Fournette,Leonard Fournette,RB,JAC,31.5,45.8,9.3,54.5,3.5,0.315,1.795,0.249,0.859,0.06,0.41,5670,0,7.812,24.804,3.6,0,0,16.38,Active
Marlon Mack,Marlon Mack,RB,IND,33.39,44.8,5.4,56.2,4.89,0.342,1.5,0.126,0.639,0.03,0.72,5310,0,3.312,26.442,3.6,0,0,14.81,Active
David Johnson,David Johnson,RB,ARI,42.12,33,9.9,80.6,3.732,0.432,1.5,0.188,0.734,0.23,0.7,6390,0,10.089,32.301,3.6,0,0,17.46,Active
Todd Gurley,Todd Gurley,RB,LAR,53.01,30.5,9.2,84.4,5.094,0.468,1.5,0.165,0.802,0.11,0.73,0,0,7.434,33.039,3.6,0,0,15.37,Active
Josh Jacobs,Josh Jacobs,RB,OAK,30,5.8,0.3,57.3,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,15.66,Active
Michael Thomas,Michael Thomas,WR,NO,52.11,0,16.6,86.5,3.75,0.513,2.694,0.284,0.851,0.23,0,7200,0,7.722,28.089,3.6,0,0,20.58,Active
Damien Williams,Damien Williams,RB,KC,11.61,24.4,12.1,29.3,4.983,0.513,1.52,0.215,0.964,0.04,0.36,5220,0,7.605,26.685,3.6,0,0,16.2,Active
Joe Flacco,Joe Flacco,QB,DEN,64.08,2.7,0,85.5,3.75,0,1.5,0,0,0,0,4410,0,6.003,21.672,3.6,0,0,13.32,Active
Matt Breida,Matt Breida,RB,SF,23.4,43,8.4,39.4,5.163,0.396,1.5,0.182,0.783,0.07,0.45,4680,0,3.78,19.773,3.6,0,0,15.39,Active
Davante Adams,Davante Adams,WR,GB,57.24,0,17.6,94.3,3.75,0.612,2.011,0.248,0.671,0.45,0,6930,0,4.752,25.461,3.6,0,0,19.03,Active
JuJu Smith-Schuster,JuJu Smith-Schuster,WR,PIT,54,0,16.6,86.4,12.075,0.639,2.058,0.235,0.696,0.19,0,6750,0,5.805,28.782,3.6,0,0,19.04,Active
